claimant_name,aadhar_number,phone_number,spouse_name,father_mother_Name,address,village,gram_panchayat,tehsil,district,ST_OTFD_Status,family_members_names,family_members_ages,habitation_area,cultivation_area,disputed_lands,patta_lease_grants,rehabilitation_land,displacement_details,forest_village_extent,other_traditional_rights,age_of_claimant,gender,marital_status,household_members,elderly_count_60plus,disability_in_household,primary_livelihood,annual_income,cultivable_land_ownership,house_type,electricity_connection,water_source,toilet_available,school_going_children,highest_education_level,shg_membership
Meena Sahu,4.03E+11,6090540747,Mahesh Rathore,Kavita Rathore,"House 61, Gondwadi",Jhabua Kheda,GP Niwas,Bajag,Alirajpur,OTFD,Lakshmi Biswas,74,0.65,2.7,Yes,Yes,No,No,Yes,Yes,65,Male,Widowed,4,2,Yes,Agriculture,71944,Yes,Pucca,No,None,No,Yes,None,No
Mahesh Sahu,3.04E+11,7492319654,Arjun Verma,Lakshmi Yadav,"House 132, Jhabua Kheda",Korku Pada,GP Jobat,Pali,Dindori,ST,Anita Bhil,10,0.53,0.89,No,Yes,Yes,Yes,Yes,Yes,70,Male,Married,4,1,Yes,Wage Labour,53645,Yes,Kutcha,No,Tap,No,Yes,None,No
Neha Bhil,1.22E+11,9687871858,Mahesh Bai,Meena Gond,"House 52, Korku Pada",Dindori Gaon,GP Pushparajgarh,Pati,Umaria,ST,Neha Rathore,26,0.73,1.08,No,No,No,Yes,No,Yes,73,Female,Separated,6,0,No,Other,60001,Yes,Kutcha,Yes,Tap,Yes,Yes,Upper Primary,Yes
Lakshmi Biswas,7.65E+11,8699248845,Lakshmi Bhil,Vikas Bhil,"House 297, Alirajpur Falia",Mandla Pur,GP Bajag,Jobat,Alirajpur,ST,Meena Yadav,58,0.44,2.04,Yes,No,No,No,No,Yes,66,Male,Separated,3,0,No,Other,55287,Yes,Kutcha,Yes,Stream,Yes,Yes,Secondary,No
Neha Kumar,5.56E+11,9948920093,Sunita Gond,Mahesh Rathore,"House 180, Bhilapur",Korku Pada,GP Ghughri,Ghughri,Sheopur,ST,Ravi Biswas,17,0.7,2.55,No,Yes,Yes,No,Yes,Yes,80,Male,Widowed,6,2,No,Wage Labour,145132,Yes,Semi-Pucca,Yes,Handpump,No,Yes,None,No
Pooja Gond,3.03E+11,6184241256,Pooja Biswas,Anita Nayak,"House 31, Korku Pada",Mandla Pur,GP Jobat,Jobat,Anuppur,ST,Mahesh Singh,53,0.17,3.84,No,No,No,No,No,No,31,Male,Single,7,0,Yes,NTFP,88868,Yes,Pucca,Yes,Tap,Yes,Yes,None,No
Ravi Yadav,9.02E+11,7518478065,Ravi Biswas,Anita Biswas,"House 155, Alirajpur Falia",Mandla Pur,GP Jobat,Bajag,Umaria,ST,Suresh Yadav,78,0.22,2.3,No,Yes,No,Yes,No,Yes,46,Other,Married,7,2,Yes,Wage Labour,89764,No,Semi-Pucca,Yes,None,No,No,Secondary,No
Lakshmi Rathore,1.44E+11,6734032618,Pooja Kumar,Ramesh Singh,"House 121, Bhilapur",Baiga Chak,GP Niwas,Pati,Anuppur,ST,Neha Naidu,5,0.9,0.38,Yes,Yes,No,Yes,Yes,No,70,Male,Single,9,0,Yes,NTFP,37410,No,Semi-Pucca,Yes,Tap,Yes,Yes,Higher Secondary,No
Pooja Verma,9.24E+11,9090236079,Pooja Sahu,Arjun Biswas,"House 51, Alirajpur Falia",Sheopur Pada,GP Pati,Bajag,Mandla,ST,Meena Gaikwad,67,0.34,1.47,Yes,No,Yes,Yes,Yes,No,43,Female,Single,5,2,Yes,NTFP,34270,Yes,Kutcha,Yes,Stream,Yes,Yes,Primary,Yes
Suresh Rathore,6.23E+11,7858650834,Meena Yadav,Suresh Bhil,"House 95, Baiga Chak",Dindori Gaon,GP Bajag,Pali,Sheopur,ST,Vikas Kumar,20,0.99,0.98,Yes,Yes,Yes,No,Yes,Yes,50,Female,Married,9,2,No,Other,68546,Yes,Semi-Pucca,No,Handpump,No,No,Higher Secondary,Yes
Ramesh Rathore,1.98E+11,7898821150,Suresh Bhil,Mahesh Yadav,"House 176, Bhilapur",Gondwadi,GP Ghughri,Bajag,Barwani,ST,Kavita Singh,51,0.06,1.02,Yes,Yes,Yes,No,Yes,No,86,Male,Separated,3,2,No,Wage Labour,113686,No,Pucca,Yes,None,Yes,No,Upper Primary,Yes
Arjun Gaikwad,2.55E+11,7530282730,Neha Das,Lakshmi Bhil,"House 11, Bhilapur",Gondwadi,GP Niwas,Niwas,Anuppur,ST,Suresh Biswas,46,0.5,2.02,No,Yes,No,Yes,Yes,Yes,83,Other,Married,3,1,Yes,Wage Labour,51905,Yes,Pucca,Yes,None,Yes,Yes,None,No
Neha Verma,1.61E+11,8814202097,Mahesh Verma,Ravi Verma,"House 12, Barwani Tola",Dindori Gaon,GP Pati,Niwas,Jhabua,ST,Kavita Gond,79,0.33,1.27,Yes,Yes,No,No,Yes,Yes,36,Female,Widowed,6,1,No,Wage Labour,38817,No,Kutcha,Yes,Handpump,Yes,Yes,Graduation,Yes
Vikas Naidu,4.96E+11,7682046442,Neha Gond,Amit Sahu,"House 45, Mandla Pur",Gondwadi,GP Pati,Pali,Dindori,ST,Pooja Biswas,67,1,1.16,Yes,No,Yes,No,No,Yes,76,Male,Widowed,4,1,Yes,NTFP,47327,Yes,Kutcha,Yes,Stream,No,Yes,None,Yes
Suresh Naidu,1.71E+11,7461652120,Mahesh Yadav,Mahesh Kumar,"House 290, Baiga Chak",Mandla Pur,GP Pushparajgarh,Pati,Jhabua,ST,Anita Bhil,3,0.99,3.87,No,Yes,Yes,Yes,Yes,Yes,20,Other,Married,2,0,No,NTFP,49745,No,Pucca,Yes,Stream,No,No,Upper Primary,Yes
Meena Bai,7.39E+11,9452125891,Amit Sahu,Vikas Singh,"House 205, Mandla Pur",Barwani Tola,GP Jobat,Pali,Sheopur,ST,Arjun Singh,23,0.24,2.34,No,Yes,Yes,Yes,Yes,Yes,75,Female,Single,7,1,No,NTFP,54988,No,Kutcha,No,None,Yes,Yes,Upper Primary,No
Lakshmi Gond,7.39E+11,7385381361,Ramesh Nayak,Lakshmi Verma,"House 219, Bhilapur",Korku Pada,GP Bajag,Pali,Sheopur,ST,Arjun Naidu,9,0.27,1.05,Yes,Yes,Yes,Yes,Yes,Yes,38,Other,Separated,4,0,Yes,Wage Labour,86027,Yes,Pucca,Yes,Tap,Yes,No,Primary,No
Neha Biswas,1.46E+11,9806765490,Anita Naidu,Vikas Bhil,"House 256, Dindori Gaon",Barwani Tola,GP Jobat,Bajag,Anuppur,OTFD,Ravi Sahu,11,0.75,1.1,Yes,Yes,Yes,Yes,No,No,63,Female,Married,9,1,Yes,Other,96840,Yes,Semi-Pucca,No,Stream,No,No,Higher Secondary,Yes
Ramesh Gond,4.09E+11,7822929676,Sunita Naidu,Ramesh Bai,"House 248, Bhilapur",Alirajpur Falia,GP Ghughri,Ghughri,Alirajpur,ST,Kavita Yadav,47,0.89,3.24,Yes,Yes,Yes,Yes,Yes,Yes,57,Male,Widowed,4,1,No,NTFP,99510,Yes,Semi-Pucca,Yes,None,Yes,No,Graduation,No
Meena Gond,2.47E+11,7068024291,Mahesh Kumar,Mahesh Bai,"House 21, Baiga Chak",Barwani Tola,GP Bajag,Pati,Mandla,ST,Anita Nayak,49,0.67,3.55,No,No,No,No,No,Yes,89,Male,Married,4,2,No,NTFP,117421,Yes,Semi-Pucca,Yes,None,Yes,Yes,Upper Primary,Yes
Vikas Yadav,1.57E+11,6625208766,Suresh Verma,Arjun Nayak,"House 41, Jhabua Kheda",Barwani Tola,GP Pushparajgarh,Sendhwa,Alirajpur,ST,Sunita Bai,44,0.87,2.72,Yes,Yes,Yes,No,Yes,No,87,Male,Single,1,0,No,Agriculture,37872,Yes,Pucca,Yes,Stream,No,Yes,None,No
Ravi Nayak,1.59E+11,9592272255,Ramesh Naidu,Ravi Kumar,"House 278, Dindori Gaon",Korku Pada,GP Pushparajgarh,Bajag,Sheopur,ST,Arjun Biswas,13,0.07,1.73,Yes,No,No,Yes,Yes,Yes,83,Other,Single,5,1,Yes,NTFP,32438,Yes,Kutcha,Yes,None,Yes,No,Graduation,Yes
Ramesh Gaikwad,6.98E+11,9569714685,Mahesh Gond,Sunita Rathore,"House 277, Jhabua Kheda",Alirajpur Falia,GP Ghughri,Bajag,Mandla,ST,Pooja Rathore,8,0.64,3.06,Yes,No,Yes,No,No,No,74,Female,Widowed,8,1,No,Wage Labour,114023,Yes,Semi-Pucca,Yes,Tap,No,No,Secondary,No
Sunita Biswas,5.60E+11,7970487465,Kavita Gond,Ramesh Singh,"House 195, Sheopur Pada",Jhabua Kheda,GP Pushparajgarh,Niwas,Sheopur,ST,Neha Das,63,0.7,3.75,No,Yes,Yes,Yes,No,No,23,Female,Married,9,0,Yes,Other,39316,Yes,Pucca,Yes,Stream,No,Yes,Graduation,No
Mahesh Gaikwad,8.25E+11,7497646076,Ramesh Gond,Pooja Gaikwad,"House 71, Barwani Tola",Barwani Tola,GP Jobat,Jobat,Sheopur,ST,Ravi Sahu,22,0.2,0.66,Yes,No,No,No,No,No,76,Male,Widowed,2,1,Yes,Other,143622,Yes,Semi-Pucca,Yes,Stream,No,Yes,None,Yes
Sunita Bhil,6.20E+11,7176050613,Meena Gond,Arjun Gond,"House 270, Dindori Gaon",Bhilapur,GP Pushparajgarh,Ghughri,Umaria,ST,Mahesh Gond,38,0.78,3.45,No,No,Yes,No,No,No,56,Female,Married,1,1,No,NTFP,97547,Yes,Semi-Pucca,Yes,Handpump,Yes,Yes,None,No
Amit Singh,7.22E+11,7718629220,Kavita Das,Pooja Biswas,"House 73, Alirajpur Falia",Mandla Pur,GP Pati,Pali,Mandla,ST,Arjun Kumar,27,0.94,3.4,No,No,Yes,No,Yes,Yes,86,Male,Widowed,9,2,Yes,Agriculture,29194,Yes,Semi-Pucca,Yes,Stream,No,Yes,Upper Primary,No
Ramesh Gond,9.15E+11,9839935311,Suresh Naidu,Pooja Sahu,"House 199, Sheopur Pada",Alirajpur Falia,GP Pati,Sendhwa,Dindori,OTFD,Mahesh Bhil,26,0.9,1.47,No,No,No,No,No,Yes,69,Male,Single,3,1,Yes,Agriculture,97836,Yes,Semi-Pucca,Yes,None,Yes,No,Higher Secondary,No
Lakshmi Verma,5.92E+11,9542496729,Sunita Rathore,Anita Rathore,"House 76, Sheopur Pada",Sheopur Pada,GP Jobat,Bajag,Jhabua,OTFD,Suresh Naidu,23,0.25,1.17,No,Yes,No,No,Yes,No,55,Male,Single,3,0,No,NTFP,99694,Yes,Pucca,Yes,Handpump,No,No,Upper Primary,No
Anita Rathore,1.47E+11,8132983015,Suresh Bai,Amit Bhil,"House 275, Sheopur Pada",Alirajpur Falia,GP Jobat,Pati,Umaria,ST,Mahesh Yadav,65,0.33,2.26,Yes,Yes,Yes,Yes,Yes,Yes,88,Other,Married,8,0,No,Other,69734,Yes,Semi-Pucca,Yes,None,Yes,Yes,None,No
Pooja Biswas,1.14E+11,8337552742,Arjun Gond,Anita Rathore,"House 283, Alirajpur Falia",Barwani Tola,GP Ghughri,Pati,Anuppur,ST,Sunita Verma,74,0.5,1.09,No,Yes,No,Yes,No,No,74,Other,Married,8,2,No,Other,131085,Yes,Pucca,Yes,Tap,Yes,No,None,No
Sunita Kumar,7.04E+11,6722373906,Lakshmi Rathore,Pooja Bai,"House 146, Baiga Chak",Sheopur Pada,GP Jobat,Pali,Dindori,ST,Kavita Rathore,47,0.17,0.58,Yes,No,No,No,No,No,24,Other,Widowed,9,1,No,Other,31736,Yes,Semi-Pucca,No,Stream,Yes,No,Upper Primary,No
Amit Verma,5.54E+11,6617799566,Pooja Biswas,Pooja Naidu,"House 13, Gondwadi",Baiga Chak,GP Bajag,Bajag,Alirajpur,ST,Arjun Bhil,61,0.95,3.81,No,Yes,Yes,Yes,No,Yes,53,Female,Separated,4,0,No,NTFP,100803,Yes,Semi-Pucca,Yes,None,Yes,No,Primary,No
Ravi Rathore,6.65E+11,9808460831,Sunita Biswas,Arjun Sahu,"House 129, Korku Pada",Alirajpur Falia,GP Bajag,Pati,Dindori,ST,Arjun Yadav,46,0.17,1.97,No,Yes,Yes,Yes,Yes,No,67,Male,Separated,9,2,Yes,Agriculture,121826,Yes,Pucca,Yes,None,Yes,No,Secondary,No
Vikas Singh,9.42E+11,8161991856,Sunita Rathore,Neha Biswas,"House 230, Baiga Chak",Jhabua Kheda,GP Ghughri,Sendhwa,Dindori,OTFD,Pooja Biswas,4,0.76,1.89,No,No,Yes,Yes,Yes,No,89,Other,Widowed,3,2,Yes,NTFP,84713,No,Pucca,Yes,Handpump,Yes,No,Upper Primary,Yes
Mahesh Gaikwad,6.55E+11,6727853972,Pooja Sahu,Arjun Rathore,"House 85, Dindori Gaon",Sheopur Pada,GP Jobat,Sendhwa,Barwani,ST,Ramesh Sahu,31,0.35,0.5,No,Yes,No,Yes,Yes,No,57,Other,Widowed,3,0,No,Wage Labour,73231,Yes,Kutcha,Yes,Stream,Yes,No,Upper Primary,Yes
Suresh Sahu,4.47E+11,8742954048,Mahesh Kumar,Arjun Kumar,"House 162, Korku Pada",Mandla Pur,GP Niwas,Sendhwa,Anuppur,OTFD,Ramesh Kumar,4,0.58,2.02,Yes,Yes,Yes,Yes,Yes,No,57,Female,Widowed,9,2,Yes,Agriculture,125120,No,Semi-Pucca,Yes,Tap,No,Yes,Upper Primary,Yes
Pooja Bhil,5.17E+11,8032443077,Suresh Sahu,Pooja Gond,"House 51, Sheopur Pada",Korku Pada,GP Ghughri,Sendhwa,Mandla,ST,Pooja Das,29,0.06,2.97,Yes,Yes,Yes,Yes,No,No,68,Other,Separated,1,0,Yes,NTFP,122463,Yes,Semi-Pucca,Yes,Stream,No,No,Upper Primary,No
Ramesh Nayak,6.81E+11,6734697498,Ramesh Bhil,Neha Singh,"House 215, Gondwadi",Bhilapur,GP Jobat,Jobat,Sheopur,ST,Amit Yadav,73,0.21,0.99,No,Yes,No,Yes,No,Yes,37,Other,Widowed,1,1,Yes,Other,30263,Yes,Kutcha,Yes,Stream,Yes,Yes,Graduation,No
Vikas Das,3.17E+11,9695521582,Neha Nayak,Ravi Bhil,"House 1, Barwani Tola",Alirajpur Falia,GP Pushparajgarh,Sendhwa,Barwani,ST,Arjun Gond,79,0.45,1.48,No,No,No,Yes,No,Yes,19,Other,Single,4,0,No,Agriculture,109315,Yes,Pucca,Yes,Handpump,Yes,Yes,None,No
Suresh Verma,9.16E+11,7599301086,Sunita Gond,Anita Das,"House 123, Baiga Chak",Alirajpur Falia,GP Bajag,Pali,Barwani,ST,Sunita Das,44,0.68,0.72,Yes,Yes,No,Yes,No,No,40,Other,Single,2,2,Yes,Other,131373,No,Semi-Pucca,Yes,None,Yes,Yes,Graduation,No
Sunita Verma,6.42E+11,8284980491,Pooja Das,Kavita Kumar,"House 288, Baiga Chak",Dindori Gaon,GP Jobat,Ghughri,Jhabua,ST,Anita Kumar,3,0.78,1.42,No,No,Yes,No,No,No,58,Male,Single,5,2,No,NTFP,127336,Yes,Kutcha,Yes,Tap,Yes,No,Primary,Yes
Meena Bhil,4.11E+11,7595894356,Kavita Nayak,Suresh Kumar,"House 200, Alirajpur Falia",Baiga Chak,GP Pushparajgarh,Pati,Dindori,ST,Vikas Bai,59,0.04,3.45,Yes,Yes,Yes,No,No,Yes,74,Male,Widowed,6,0,Yes,Agriculture,71068,Yes,Kutcha,No,Tap,Yes,Yes,None,No
Mahesh Rathore,1.31E+11,7764981747,Ramesh Naidu,Anita Gond,"House 183, Korku Pada",Sheopur Pada,GP Pati,Ghughri,Sheopur,ST,Ravi Das,79,0.16,0.95,Yes,No,Yes,Yes,Yes,Yes,38,Male,Widowed,2,0,No,Agriculture,22060,Yes,Semi-Pucca,No,Handpump,No,Yes,Upper Primary,Yes
Mahesh Sahu,6.93E+11,6837648449,Neha Naidu,Amit Verma,"House 216, Baiga Chak",Barwani Tola,GP Bajag,Jobat,Umaria,OTFD,Suresh Gaikwad,53,0.73,0.12,No,Yes,No,Yes,No,No,56,Other,Single,1,1,Yes,Wage Labour,75815,Yes,Semi-Pucca,Yes,Tap,Yes,No,Higher Secondary,Yes
Sunita Bai,3.26E+11,8585800836,Suresh Nayak,Anita Yadav,"House 240, Baiga Chak",Barwani Tola,GP Niwas,Bajag,Mandla,OTFD,Suresh Naidu,11,0.81,2.14,No,Yes,Yes,No,Yes,No,43,Male,Single,3,1,Yes,NTFP,96258,Yes,Kutcha,No,None,No,No,Graduation,No
Anita Verma,1.42E+11,6491014024,Vikas Das,Amit Bhil,"House 68, Alirajpur Falia",Jhabua Kheda,GP Jobat,Bajag,Jhabua,ST,Amit Verma,6,0.24,2.32,Yes,Yes,No,Yes,Yes,Yes,89,Female,Widowed,6,1,Yes,Agriculture,139580,Yes,Kutcha,Yes,Stream,No,Yes,None,Yes
Kavita Biswas,1.33E+11,8727105427,Ravi Nayak,Sunita Verma,"House 82, Dindori Gaon",Gondwadi,GP Bajag,Jobat,Sheopur,ST,Meena Kumar,47,0.24,1.32,No,No,Yes,No,No,Yes,68,Male,Widowed,1,2,Yes,Agriculture,94549,Yes,Pucca,Yes,Handpump,No,Yes,Upper Primary,Yes
Amit Nayak,9.74E+11,9179584877,Mahesh Singh,Mahesh Gaikwad,"House 142, Baiga Chak",Dindori Gaon,GP Ghughri,Sendhwa,Anuppur,ST,Meena Bhil,7,0.1,2.57,Yes,Yes,No,No,Yes,No,88,Other,Separated,4,1,No,Wage Labour,44254,No,Kutcha,Yes,Tap,Yes,No,Secondary,No
Pooja Bhil,1.60E+11,6183752785,Meena Kumar,Vikas Gond,"House 41, Barwani Tola",Alirajpur Falia,GP Jobat,Bajag,Jhabua,OTFD,Mahesh Bhil,68,0.16,0.15,No,No,Yes,Yes,Yes,Yes,38,Male,Single,8,0,No,NTFP,29249,Yes,Pucca,Yes,None,No,Yes,Secondary,No
Sunita Bai,8.81E+11,9307255676,Anita Gaikwad,Anita Naidu,"House 239, Jhabua Kheda",Korku Pada,GP Bajag,Jobat,Alirajpur,ST,Ravi Naidu,85,0.02,1.36,No,Yes,Yes,Yes,Yes,Yes,75,Male,Separated,9,1,No,Wage Labour,25399,Yes,Pucca,Yes,None,Yes,Yes,Primary,Yes
Amit Kumar,7.36E+11,7563022663,Sunita Nayak,Vikas Kumar,"House 3, Bhilapur",Alirajpur Falia,GP Ghughri,Jobat,Alirajpur,ST,Ramesh Bai,1,0.59,0.58,Yes,No,Yes,No,No,Yes,67,Female,Separated,9,2,No,Other,27347,No,Semi-Pucca,Yes,None,No,No,None,No
Ravi Rathore,3.11E+11,9321805921,Lakshmi Bai,Suresh Singh,"House 94, Gondwadi",Jhabua Kheda,GP Bajag,Pati,Anuppur,ST,Vikas Yadav,56,0.9,0.92,Yes,No,Yes,Yes,No,No,40,Female,Single,7,2,Yes,NTFP,41604,Yes,Semi-Pucca,No,Tap,No,No,Secondary,Yes
Vikas Gaikwad,8.17E+11,6264323656,Pooja Sahu,Arjun Nayak,"House 59, Jhabua Kheda",Korku Pada,GP Pati,Niwas,Umaria,ST,Suresh Singh,87,0.16,1.53,Yes,Yes,Yes,No,Yes,No,59,Other,Widowed,7,2,Yes,Wage Labour,130952,Yes,Kutcha,Yes,Tap,Yes,No,Primary,Yes
Kavita Biswas,6.77E+11,7045190982,Sunita Gaikwad,Ravi Bhil,"House 228, Alirajpur Falia",Gondwadi,GP Jobat,Jobat,Umaria,ST,Anita Gond,77,0.75,1.97,No,Yes,Yes,Yes,Yes,No,59,Male,Separated,4,0,Yes,Other,70314,No,Semi-Pucca,Yes,Stream,Yes,Yes,Primary,No
Suresh Kumar,6.53E+11,9660700189,Anita Yadav,Neha Singh,"House 18, Korku Pada",Jhabua Kheda,GP Bajag,Sendhwa,Sheopur,ST,Neha Nayak,43,0.58,0.37,Yes,No,Yes,Yes,Yes,Yes,57,Female,Married,7,1,No,Agriculture,59331,Yes,Pucca,No,Stream,Yes,No,Primary,No
Kavita Verma,8.12E+11,6172299388,Sunita Singh,Amit Bai,"House 239, Sheopur Pada",Alirajpur Falia,GP Pushparajgarh,Niwas,Jhabua,ST,Mahesh Sahu,28,0.94,0.41,No,Yes,No,Yes,No,No,44,Male,Widowed,2,1,No,Wage Labour,148375,Yes,Kutcha,Yes,None,No,Yes,Secondary,No
Vikas Gaikwad,2.86E+11,9506233103,Ramesh Rathore,Ramesh Rathore,"House 74, Jhabua Kheda",Gondwadi,GP Bajag,Pali,Mandla,ST,Ramesh Biswas,29,0.8,2.7,Yes,No,No,Yes,Yes,Yes,37,Female,Separated,8,0,No,NTFP,84453,Yes,Semi-Pucca,Yes,Handpump,No,No,Higher Secondary,No
Arjun Bai,2.88E+11,7462224596,Ramesh Das,Ramesh Nayak,"House 169, Dindori Gaon",Jhabua Kheda,GP Pushparajgarh,Jobat,Dindori,OTFD,Suresh Sahu,18,0.85,1.62,No,No,No,No,Yes,No,79,Male,Married,2,1,No,Agriculture,58106,Yes,Semi-Pucca,Yes,Tap,Yes,Yes,Primary,No
Arjun Gaikwad,6.07E+11,9658807428,Sunita Yadav,Ramesh Gaikwad,"House 264, Barwani Tola",Baiga Chak,GP Jobat,Pati,Barwani,ST,Vikas Yadav,87,0.64,0.71,Yes,No,No,No,No,Yes,30,Female,Widowed,4,1,Yes,Agriculture,122596,No,Kutcha,Yes,Tap,No,Yes,Graduation,Yes
Pooja Gond,6.20E+11,7339907574,Vikas Sahu,Vikas Bai,"House 160, Jhabua Kheda",Gondwadi,GP Niwas,Sendhwa,Anuppur,ST,Mahesh Gond,73,0.81,0.94,Yes,Yes,No,No,No,Yes,59,Female,Married,1,0,No,NTFP,53078,Yes,Semi-Pucca,Yes,Handpump,Yes,Yes,None,No
Ramesh Rathore,7.21E+11,8688370844,Arjun Sahu,Ramesh Bhil,"House 169, Korku Pada",Barwani Tola,GP Pushparajgarh,Sendhwa,Alirajpur,ST,Neha Das,62,0.36,2.88,Yes,Yes,Yes,Yes,No,Yes,83,Male,Single,1,2,Yes,Agriculture,23297,Yes,Kutcha,No,Handpump,Yes,No,Primary,Yes
Ravi Singh,7.50E+11,9891047982,Kavita Kumar,Sunita Bhil,"House 206, Gondwadi",Jhabua Kheda,GP Bajag,Ghughri,Jhabua,ST,Ramesh Singh,6,0.22,0.21,No,No,No,Yes,Yes,No,60,Other,Separated,7,1,Yes,Other,40192,Yes,Pucca,No,Tap,No,No,None,No
Arjun Biswas,1.42E+11,9961358180,Neha Naidu,Mahesh Biswas,"House 9, Sheopur Pada",Jhabua Kheda,GP Ghughri,Sendhwa,Barwani,ST,Lakshmi Verma,16,0.91,2.03,Yes,No,No,Yes,No,Yes,66,Female,Married,9,0,No,Other,110969,Yes,Kutcha,Yes,Handpump,Yes,No,None,Yes
Neha Rathore,9.56E+11,8512984938,Mahesh Naidu,Mahesh Gond,"House 115, Sheopur Pada",Bhilapur,GP Ghughri,Ghughri,Anuppur,ST,Amit Naidu,1,0.74,1.44,No,No,Yes,No,No,Yes,29,Other,Single,1,1,No,NTFP,127172,Yes,Semi-Pucca,Yes,Handpump,No,Yes,Higher Secondary,No
Anita Biswas,4.62E+11,6153495933,Amit Verma,Ravi Gond,"House 152, Mandla Pur",Alirajpur Falia,GP Ghughri,Pati,Anuppur,OTFD,Lakshmi Gaikwad,22,0.1,3.24,No,No,No,No,Yes,Yes,57,Female,Separated,5,0,Yes,Wage Labour,131156,Yes,Kutcha,Yes,None,No,No,Graduation,No
Mahesh Sahu,6.39E+11,6922864661,Pooja Kumar,Sunita Singh,"House 87, Jhabua Kheda",Mandla Pur,GP Pati,Pati,Alirajpur,ST,Meena Verma,46,0.87,3.16,Yes,Yes,No,No,Yes,Yes,85,Other,Single,1,0,No,NTFP,68755,No,Semi-Pucca,No,Stream,No,Yes,Upper Primary,No
Ramesh Naidu,9.02E+11,9293053901,Ravi Biswas,Sunita Sahu,"House 95, Barwani Tola",Dindori Gaon,GP Bajag,Sendhwa,Jhabua,ST,Sunita Nayak,62,0.36,2.76,Yes,No,No,Yes,No,No,21,Other,Separated,7,2,Yes,Wage Labour,131544,Yes,Pucca,Yes,Stream,No,Yes,None,Yes
Amit Bai,8.89E+11,9818639288,Vikas Kumar,Amit Naidu,"House 231, Alirajpur Falia",Mandla Pur,GP Niwas,Jobat,Anuppur,ST,Anita Biswas,23,0.31,1.54,Yes,No,No,Yes,Yes,Yes,59,Female,Married,6,1,No,Agriculture,133596,Yes,Pucca,No,Handpump,Yes,No,Graduation,No
Kavita Gaikwad,3.42E+11,8880678482,Meena Gond,Neha Singh,"House 186, Jhabua Kheda",Baiga Chak,GP Jobat,Niwas,Barwani,ST,Meena Gaikwad,21,0.63,2.52,No,Yes,Yes,Yes,No,No,29,Female,Single,2,1,Yes,NTFP,23252,No,Kutcha,No,Stream,Yes,No,Higher Secondary,No
Mahesh Rathore,5.12E+11,6212965847,Kavita Kumar,Meena Kumar,"House 114, Dindori Gaon",Jhabua Kheda,GP Pati,Sendhwa,Barwani,ST,Arjun Singh,51,0.57,2.56,No,No,No,No,Yes,No,39,Male,Widowed,8,2,No,Other,110993,Yes,Kutcha,No,Tap,Yes,No,Graduation,Yes
Lakshmi Naidu,3.02E+11,6372281577,Mahesh Nayak,Ramesh Sahu,"House 274, Sheopur Pada",Baiga Chak,GP Pushparajgarh,Pali,Anuppur,OTFD,Pooja Biswas,38,0.54,1.33,Yes,No,Yes,Yes,Yes,Yes,85,Female,Separated,5,1,Yes,Agriculture,21150,Yes,Semi-Pucca,Yes,None,No,No,None,No
Suresh Kumar,2.13E+11,8336348731,Anita Gond,Kavita Bhil,"House 29, Bhilapur",Sheopur Pada,GP Jobat,Ghughri,Mandla,ST,Suresh Yadav,28,0.26,3.52,No,Yes,No,Yes,No,Yes,89,Other,Separated,6,0,Yes,Wage Labour,72593,No,Kutcha,Yes,Stream,No,Yes,Primary,Yes
Lakshmi Yadav,5.72E+11,9703342533,Neha Biswas,Sunita Nayak,"House 203, Bhilapur",Barwani Tola,GP Jobat,Niwas,Dindori,ST,Ramesh Naidu,44,0.96,3.94,Yes,No,No,No,No,Yes,88,Male,Single,4,2,Yes,Wage Labour,40813,Yes,Kutcha,Yes,Stream,Yes,No,Graduation,No
Amit Biswas,8.70E+11,8212167355,Ravi Rathore,Amit Kumar,"House 2, Dindori Gaon",Dindori Gaon,GP Pati,Jobat,Barwani,ST,Vikas Singh,39,0.95,1.26,No,Yes,No,No,No,Yes,25,Male,Married,3,1,No,Agriculture,69761,Yes,Kutcha,Yes,Tap,No,Yes,Primary,No
Mahesh Naidu,2.37E+11,7677252153,Mahesh Biswas,Mahesh Gond,"House 78, Alirajpur Falia",Jhabua Kheda,GP Niwas,Bajag,Jhabua,ST,Meena Biswas,42,0.01,3.2,Yes,No,Yes,Yes,Yes,Yes,35,Male,Single,8,1,Yes,Agriculture,21992,Yes,Semi-Pucca,Yes,Handpump,No,No,Primary,No
Neha Naidu,2.09E+11,8970116866,Kavita Verma,Anita Bai,"House 231, Baiga Chak",Bhilapur,GP Niwas,Pati,Umaria,ST,Suresh Verma,42,0.34,2,No,Yes,No,No,Yes,Yes,77,Male,Separated,7,2,No,Other,134038,Yes,Kutcha,Yes,Stream,No,No,Graduation,Yes
Ravi Yadav,4.21E+11,8250874017,Sunita Nayak,Lakshmi Verma,"House 98, Jhabua Kheda",Jhabua Kheda,GP Bajag,Sendhwa,Anuppur,ST,Pooja Verma,60,0.06,1.85,No,Yes,Yes,Yes,No,No,78,Other,Separated,7,2,No,Other,147464,Yes,Kutcha,Yes,Handpump,Yes,Yes,Higher Secondary,Yes
